"GILLIGAN'S GOLD","ARCADE","N-23"
"VU-CALC","UTILIDAD","M"
"CRITICAL MASS","ARCADE","N"
"FIGHTING WARRIOR","ARCADE","N"
"OLE TORO","ARCADE","M-22"
"BUCK ROGERS","ARCADE","6"
"B.C. BILL","ARCADE","N"
"MOON CRESTA","ARCADE","C"
"SNOOKER","S. DEPORTIVO","N"
"NIGHTSHADE","VIDEOAVENTURA","N"
"DRAGON TORC","VIDEOAVENTURA","N"
"CAULDRON","VIDEOAVENTURA","N"
"GYROSCOPE","ARCADE","M-25"
"YIE AR KUNG-FU","ARCADE","M-33"
"BEACH HEAD II","ARCADE","-31"
"COMMANDO","ARCADE","M-20"
"RAMBO","ARCADE","M-29"
"ZORRO","VIDEOAVENTURA","M"
"FULL THROTTLE","ARCADE","M"
"GLASS","ARCADE","M-25"
"PYJAMARAMA","VIDEOAVENTURA","M"
"GUNFRIGHT","ARCADE","N"
"IMPOSSIBLE MISSION","VIDEOAVENTURA","O"
"WHEELIE","ARCADE","O"
"SGRIZAM","ARCADE","O-29"
"BATTLE OF THE PLANETS","ARCADE","O"
"BOULDER DASH II","ARCADE","O"
"SABOTEUR","VIDEOAVENTURA","O"
"N.O.M.A.D.","ARCADE","P-24"
"YABBA DABBA DOOO","ARCADE","P"
"DYNAMITE DAN","ARCADE","P"
"ROCKY HORROR SHOW","ARCADE","P"
"TASWORD TWO","UTILIDAD","P"
"3D TANX","ARCADE","P"
"TUNELES MARCIANOS","ARCADE","P"
"BARMY BURGER","ARCADE","P"
"VU-3D","UTILIDAD","U"
"STREET HAWK","ARCADE","U"
"911 TS","ARCADE","U"
"DUN DARACH","VIDEOAVENTURA","Q"
"ENIGMA FORCE","VIDEOAVENTURA","Q"
"SIR FRED","VIDEOAVENTURA","Q-U"
"CHIMERA","VIDEOAVENTURA","Q"
"SKY FOX","ARCADE","Q"
"TURBO ESPRIT","ARCADE","Q-25"
"BARRY McGUIGAN'S BOXING","S. DEPORTIVO","Q"
"PING-PONG","S. DEPORTIVO","Q-24"
"MIKIE","ARCADE","Q-25"
"GREEN BERET","ARCADE","O"
"SPITFIRE 40","SIMULADOR","O"
"FRIDAY 13th","ARCADE","R"
"CYBERUN","ARCADE","R"
"SAMANTHA FOX STRIP POKER","JUEGO DE MESA","R"
"7 CARD STUD","JUEGO DE MESA","R"
"CODENAME MAT II","ARCADE","R"
