"DRAGON TORC","VIDEOAVENTURA","N"
"DRAGON'S BANE","CONVERSACIONAL","1"
"DRAGON'S LAIR","ARCADE","T"
"DREAD NOUGHTS","ESTRATEGIA","6"
"DRUID","ARCADE","21"
"DUET","ARCADE","19"
"DUN DARACH","VIDEOAVENTURA","Q"
"DUSTIN","VIDEOAVENTURA","3"
"DYNAMITE DAN","ARCADE","P"
"E.T.","ARCADE","27"
"EL CUBO MAGICO","JUEGO DE MESA","2"
"EL ESCALADOR LOCO","ARCADE","B"
"EL GATO","ARCADE","V"
"EL GOLPE","ARCADE","C"
"EL MISTERIO DEL NILO","ARCADE","4"
"ELECCIONES GENERALES","ESTRATEGIA","13"
"ELEVATOR ACTION","ARCADE","20"
"ELITE","ARCADE","Z-20"
"ENDURO RACER","ARCADE","3"
"ENDURO","ARCADE","H"
"ENIGMA FORCE","VIDEOAVENTURA","Q"
"ENSAMBLADOR","UTILIDAD","G"
"EQUINOX","VIDEOAVENTURA","X"
"ERIK THE VIKING","CONVERSACIONAL","27"
"ESCAPE FROM SINGE'S CASTLE","ARCADE","3"
"ESKIMO EDDIE","ARCADE","F"
"ESPIONAGE ISLAND","CONVERSACIONAL","0"
"ESTADISTICA","UTILIDAD","5"
"EVERYONE'S A WALLY","VIDEOAVENTURA","F"
"EXOLON","ARCADE","16"
"EXPRESS RAIDER","ARCADE","4"
"F-15 STRIKE EAGLE","ARCADE","14"
"FACTORY BRAKOUT","ARCADE","29"
"FAIRLIGHT II","VIDEOAVENTURA","30"
"FAIRLIGHT","VIDEOAVENTURA","O"
"FANTASTIC VOYAGE","ARCADE","T"
"FANTOMAS","ARCADE","16"
"FERNANDO MARTIN BASKET MASTER","ARCADE","4"
"FEUD","VIDEOAVENTURA","21"
"FIGHTER PILOT","SIMULADOR","Y"
"FIGHTING WARRIOR","ARCADE","N"
"FILECARD","UTILIDAD","6"
"FINDERS KEEPERS","VIDEOAVENTURA","Z"
"FIRELORD","VIDEOAVENTURA","Z"
"FIST II","VIDEOAVENTURA","1"
"FLAK","ARCADE","14"
"FLASH GORDON","VIDEOAVENTURA","16"
"FLIGHT SIMULATOR","SIMULADOR","G"
"FORBIDDEN PLANET","ARCADE","27"
"FORMULA ONE SIMULATOR","ARCADE","13"
"FORTH","UTILIDAD","Y"
"FRANK BRUNO'S BOXING","ARCADE","O"
"FRANKESTEIN","ARCADE","W"
"FRANKIE GOES TO HOLLYWOOD","VIDEOAVENTURA","L"
"FRED","ARCADE","C"
"FRENZY","ARCADE","G"
"FRIDAY 13th","ARCADE","R"
"FROST BYTE","VIDEOAVENTURA","5"
"FULL THROTTLE","ARCADE","M"
"FUN AT THE FAIR","ARCADE","J"
"FUTURE GAMES","ARCADE","11"
"FUTURE KNIGHT","ARCADE","0"
"GALACTIC ABDUCTORS","ARCADE","16"
"GALAXIANS","ARCADE","J"
"GALIVAN","ARCADE","Y"
"GALLIPOLI","ESTRATEGIA","11"
"GALLIPOLI","ESTRATEGIA","26"
"GAME OVER","ARCADE","12"
"GAMES DESIGNER","UTILIDAD","G"
"GAMMA","ARCADE","W"
"GAUNTLET","ARCADE","2"
"GERRY THE GERM","ARCADE","25"
"GHOST'N GOBLINS","ARCADE","S"
"GHOSTBUSTERS","ARCADE","J"
"GHOSTHUNTERS","VIDEOAVENTURA","32"
"GIFT FROM THE GODS","ARCADE","H"
"GILLIGAN'S GOLD","ARCADE","N-23"
"GLADIATOR","ARCADE","S"
"GLASS","ARCADE","M-25"
"GLIDER RIDER","ARCADE","11"
"GOBBLEMAN","ARCADE","C"
"GRAND NATIONAL","S. DEPORTIVO","U"
"GRANJES HILL","CONVERSACIONAL","33"
"GREAT GURIANOS","ARCADE","30"
"GREEN BERET","ARCADE","O"
"GREMLINS","CONVERSACIONAL","H"
"GREYFELL","VIDEOAVENTURA","16"
"GUNFRIGHT","ARCADE","N"
"GUNRUNNER","ARCADE","7-32"
"GUNSTAR","ARCADE","33"
"GUSANO","ARCADE","U"
"GYRON","ARCADE","K"
"GYROSCOPE","ARCADE","M-25"
"H.E.R.O.","ARCADE","23"
"HACKER II","ESTRATEGIA","23"
"HARD GUY","ARCADE","9"
"HARDBALL","S. DEPORTIVO","D"
"HARRIER ATTACK","ARCADE","C"
"HAVOC","ARCADE","31"
"HEAD OVER HEELS","VIDEOAVENTURA","7"
"HEARTLAND","VIDEOAVENTURA","4"
"HEATHROW","SIMULADOR","3"
"HEAVY OF THE MAGIC","CONVERSACIONAL","7"
"HELLFIRE","ARCADE","G"
"HERBERT'S DUMMY RUN","VIDEOAVENTURA","1"
"HERBIE","UTILIDAD","32"
"HIDROFOOL","VIDEOAVENTURA","8"
"HIGH NOON","ARCADE","A"
"HIGHWAY ENCOUNTER","ARCADE","N"
"HISOFT C","UTILIDAD","14"
"HISOFT PASCAL","UTILIDAD","14"
"HORACE AND THE SPIDERS","ARCADE","A"
"HORACE GOES SKIING","ARCADE","A"
"HOROSCOPO","UTILIDAD","W"
"HOW TO BE A COMPLETE BASTARD","VIDEOAVENTURA","31"
"HOWARD THE DUCK","VIDEOAVENTURA","15"
"HUNCHBACK II","ARCADE","F"
"HUNCHBACK","ARCADE","A"
"HUNGRY HORACE","ARCADE","A"
"HUNTER KILLER","SIMULADOR","J"
"HYPABALL","ARCADE","11"
"HYPERBOWL","ARCADE","20"
"HYPERSPORTS","ARCADE","H-32"
"HYSTERIA","ARCADE","31"
"I OF THE MASK","ARCADE","Y"
"ICE TEMPLE","VIDEOAVENTURA","12"
"IMPOSSABALL","ARCADE","11"
"IMPOSSIBLE MISSION","VIDEOAVENTURA","O"
"INCA CURSE","CONVERSACIONAL","Z"
"INDIANA JONES","ARCADE","19"
"INFILTRATOR","ARCADE","8"
"INFRARED","UTILIDAD","B"
"INSPECTOR GADGET","ARCADE","21"
"INTERCEPTOR COBALT","SIMULADOR","A"
"INTERNATIONAL RUGBY","ARCADE","3"
"INTERNATIONAL VOLLEYBALL","ARCADE","25"
"INTO THE EAGLES NEST","ARCADE","33"
"INTRO DATA AND CODE","JUEGO DE MESA","28"
"INVADER","ARCADE","U"
"INVADERS","ARCADE","I"
"IT'S A KNOCKOUT","ARCADE","0"
"JACK AND THE BEANSTALK","ARCADE","G"
"JACK THE NIPPER II","ARCADE","31"
"JACK THE NIPPER","VIDEOAVENTURA","S"
"JAIL BREAK","ARCADE","2"
"JAWZ","ARCADE","N"
"JET PAC","ARCADE","K"
"JET SET WILLY II","ARCADE","V"
"JET SET WILLY","ARCADE","I"
"JOHNNY REB II","ESTRATEGIA","11"
"JUDGE DREDD","ARCADE","9"
"JUGGERNAUT","SIMULADOR","D"
"JUMP CHALLENGER","ARCADE","E"
"JUMPING JACK","ARCADE","C"
"KAI TEMPLE","ARCADE","12"
"KANE","ARCADE","9"
"KAT TRAP","ARCADE","15"
"KICK BOXING","ARCADE","23"
"KINETIK","VIDEOAVENTURA","16"
"KNIGHT DRIVER","ARCADE","E"
"KNIGHT RIDER","ARCADE","0"
"KNIGHT'S LORE","VIDEOAVENTURA","G-U"
"KNOT 3D","ARCADE","C"
"KNUCKLE BUSTERS","ARCADE","10"
"KOKOTONI WILF","ARCADE","N"
"KONG STRIKES BACK","ARCADE","K"
"KONG","ARCADE","Y"
"KRAKOUT","ARCADE","14"
"KRIPTON RAIDER","ARCADE","26"
"KUNG-FU MASTER","ARCADE","R-25"
"KUNG-FU","ARCADE","W"
"KYREL","ARCADE","P"
"L'AFFAIRE VERACRUZ","CONVERSACIONAL","21"
"LA MANZANA DE NEWTON","ARCADE","W"
"LA MUMMIA","ARCADE","U"
